sloc1	scate2	platform	clks	clks_one_day
102	8546	m	114	16
10229	130	m	1	0
10229	156	app	704	100
10260	96	app	112	16
10285	343	pc	2	0
1029	8493	app	59	8
10291	34323	app	23	3
10291	609	m	322	46
10304	8516	pc	1	0
10387	96	pc	85	12
1039	111	m	402	57
1039	8645	pc	12	1
1039	8717	app	35	5
10417	102	app	89	12
10417	148	pc	2	0
10434	8442	m	16	2
10434	8558	pc	15	2
10448	171	pc	1	0
10448	199	app	80	11
10454	8855	m	1	0
10461	8855	app	18	2
10467	710	app	14	2
10467	97	app	38	5
10485	125	pc	40	5
10485	460	m	686	98
10485	8543	pc	11	1
10492	14379	m	11	1
10492	14539	pc	10	1
10492	460	app	180	25
10492	712	pc	25	3
10513	125	m	519	74
10513	26523	pc	26	3
10513	8543	m	6	0
10513	8659	pc	201	28
10564	14502	app	15	2
1057	8537	app	693	99
1067	190	app	109	15
1078	8752	m	22	3
1096	152	pc	6	0
1096	314	pc	21	3
11077	190	app	22	3
11226	26523	m	2	0
11226	8659	m	1	0
12291	8537	app	332	47
13950	37866	pc	4	0
13951	35984	app	2	0
14357	26523	app	39	5
14357	710	m	18	2
14357	8659	app	2	0
14357	95	pc	60	8
14357	97	m	2	0
147	26521	m	24	3
147	460	pc	468	66
158	190	m	1317	188
158	350	pc	404	57
188	168	pc	3234	462
188	212	pc	370	52
188	37865	pc	20	2
188	8658	app	187	26
188	96	m	16536	2362
2	152	m	109	15
2	314	m	266	38
2	36012	m	90	12
2015	152	m	38	5
2015	314	m	131	18
202	190	m	6010	858
202	350	pc	167	23
2032	96	app	380	54
2037	35691	pc	1	0
2039	8608	pc	5	0
2040	34807	m	94	13
2040	38117	app	10	1
2041	96	pc	144	20
2042	14526	pc	57	8
2044	8442	m	115	16
2044	8558	pc	24	3
2046	14326	m	114	16
2048	343	app	8	1
2048	8761	app	3	0
2049	15520	m	47	6
2049	171	app	23	3
2049	36011	pc	18	2
2050	14286	m	12	1
2053	14326	app	1526	218
2192	118	app	17	2
2192	22431	pc	64	9
2192	26518	app	6	0
222	152	m	13	1
222	314	m	9	1
222	36012	m	58	8
2247	34806	pc	20	2
2247	38118	app	2	0
2247	8645	m	5	0
2248	125	app	57	8
2248	710	pc	32	4
2248	8543	app	24	3
2248	97	pc	13	1
228	118	app	74	10
2284	190	m	11	1
2284	23087	pc	8	1
2284	350	pc	16	2
2296	186	pc	2	0
2296	36008	app	128	18
2299	156	pc	286	40
2303	37981	pc	15	2
2303	8523	pc	127	18
2307	356	m	1	0
2307	35828	m	46	6
2307	36014	app	52	7
2315	37863	m	1	0
2315	771	m	13	1
2315	8692	pc	19	2
2319	234	pc	44	6
2323	196	m	9	1
2323	310	app	375	53
2323	356	pc	1	0
2323	35828	pc	5	0
2325	35981	m	10	1
2329	14502	m	25	3
2337	14286	app	285	40
2342	168	m	969	138
2342	212	m	257	36
2342	26520	app	2	0
2342	8746	pc	27	3
2344	148	m	4	0
2346	128	m	43	6
2346	14286	pc	53	7
2346	8546	m	9	1
2347	118	m	32	4
2347	26516	pc	3	0
2347	26518	m	4	0
2347	611	pc	298	42
2347	8444	app	154	22
2350	130	pc	50	7
2350	14001	pc	43	6
2354	118	app	32	4
2354	22431	pc	49	7
2354	35691	m	89	12
2360	102	app	208	29
2360	14354	m	5	0
