sloc1	scate2	ps1	ps1a	as1	clk01	cost1	cash1	dispuser1	dispsub1	realcostuser1	realcostsub1
2037	26513	56	0	0	0	0.0	0.0	0	0	0	0
2041	125	233	0	0	0	0.0	0.0	0	0	0	0
2041	8543	40	0	0	0	0.0	0.0	0	0	0	0
2042	34806	5	0	0	0	0.0	0.0	0	0	0	0
2043	8523	19	0	0	0	0.0	0.0	0	0	0	0
2049	8752	34	0	0	0	0.0	0.0	0	0	0	0
2053	26515	47	0	0	0	0.0	0.0	0	0	0	0
2054	37981	16	0	0	0	0.0	0.0	0	0	0	0
2055	14255	6	0	0	0	0.0	0.0	0	0	0	0
2055	24056	11	0	0	0	0.0	0.0	0	0	0	0
2055	35694	45	0	0	0	0.0	0.0	0	0	0	0
2055	8692	9	0	0	0	0.0	0.0	0	0	0	0
2192	8537	92	0	0	0	0.0	0.0	0	0	0	0
228	8537	501	0	0	0	0.0	0.0	0	0	0	0
2292	343	13	0	0	0	0.0	0.0	0	0	0	0
2292	8761	0	0	0	0	0.0	0.0	0	0	0	0
2299	111	130	0	0	0	0.0	0.0	0	0	0	0
2302	14502	64	0	0	0	0.0	0.0	0	0	0	0
2302	8444	53	0	0	0	0.0	0.0	0	0	0	0
2303	14286	45	26	26	0	0.0	0.0	1	1	0	0
2315	798	43	0	0	0	0.0	0.0	0	0	0	0
2319	145	34	0	0	0	0.0	0.0	0	0	0	0
2323	311	54	0	0	0	0.0	0.0	0	0	0	0
2328	712	18	0	0	0	0.0	0.0	0	0	0	0
2329	207	27	20	20	1	8.48	5.66	1	1	1	1
2337	460	326	309	604	9	17.21	11.47	2	2	1	1
2347	360	92	56	153	3	0.0	0.0	2	2	0	0
2347	8445	52	31	31	0	0.0	0.0	1	1	0	0
2350	203	365	0	0	0	0.0	0.0	0	0	0	0
2354	8537	182	0	0	0	0.0	0.0	0	0	0	0
2363	8609	77	0	0	0	0.0	0.0	0	0	0	0
2364	190	44	0	0	0	0.0	0.0	0	0	0	0
2378	168	489	250	584	5	51.61	34.3	2	2	2	2
2378	212	160	0	0	0	0.0	0.0	0	0	0	0
2378	37865	2	0	0	0	0.0	0.0	0	0	0	0
2389	102	157	0	0	0	0.0	0.0	0	0	0	0
2392	234	126	60	60	3	0.0	0.0	1	1	0	0
2394	96	490	318	318	8	0.0	0.0	1	1	0	0
2397	38115	5	0	0	0	0.0	0.0	0	0	0	0
2397	8558	39	0	0	0	0.0	0.0	0	0	0	0
2398	26522	0	0	0	0	0.0	0.0	0	0	0	0
2404	186	11	0	0	0	0.0	0.0	0	0	0	0
2422	168	576	316	1558	14	145.65	96.13	6	6	5	5
2422	212	140	13	26	0	8.64	5.76	0	0	0	0
2422	37865	1	0	0	0	0.0	0.0	0	0	0	0
2429	22431	82	0	0	0	0.0	0.0	0	0	0	0
2429	8516	390	309	585	6	12.25	8.17	2	2	1	1
2501	36011	16	0	0	0	0.0	0.0	0	0	0	0
3	37866	40	0	0	0	0.0	0.0	0	0	0	0
3	95	12571	824	824	9	23.85	20.23	0	0	0	0
3184	171	67	0	0	0	0.0	0.0	0	0	0	0
319	35691	197	67	74	0	13.09	11.05	1	1	1	1
3209	8735	10	0	0	0	0.0	0.0	0	0	0	0
3359	203	383	276	518	12	11.18	7.45	2	2	2	2
3445	234	196	0	0	0	0.0	0.0	0	0	0	0
3453	36014	5	0	0	0	0.0	0.0	0	0	0	0
3479	14326	187	82	189	2	33.08	30.72	1	2	1	2
