sloc1	scate2	sloc-scate	online_price	member_price
37	14363	37-14363	7.44	5.58
319	36011	319-36011	7.44	5.58
122	8752	122-8752	7.44	5.58
606	8537	606-8537	7.44	5.58
37	314	37-314	7.44	5.58
18	712	18-712	7.44	5.58
241	8717	241-8717	7.44	5.58
414	8855	414-8855	7.44	5.58
4	26517	4-26517	7.44	5.58
984	14379	984-14379	7.68	5.76
424	8558	424-8558	12.24	9.18
572	360	572-360	7.68	5.76
188	35828	188-35828	7.68	5.76
2041	8516	2041-8516	7.68	5.76
2404	96	2404-96	7.68	5.76
10536	609	10536-609	7.68	5.76
10461	609	10461-609	7.68	5.76
1078	190	1078-190	7.68	5.76
2328	168	2328-168	7.68	5.76
6788	203	6788-203	7.68	5.76
2038	168	2038-168	7.68	5.76
722	118	722-118	7.68	5.76
2404	168	2404-168	7.68	5.76
8854	203	8854-203	7.68	5.76
463	14526	463-14526	7.68	5.76
3445	96	3445-96	7.68	5.76
3266	168	3266-168	7.68	5.76
831	609	831-609	7.68	5.76
933	168	933-168	7.68	5.76
523	97	523-97	7.68	5.76
6793	8523	6793-8523	7.68	5.76
2328	8523	2328-8523	7.68	5.76
93	133	93-133	7.68	5.76
2319	168	2319-168	7.68	5.76
18	29389	18-29389	7.68	5.76
342	8609	342-8609	7.68	5.76
9444	156	9444-156	7.68	5.76
276	8558	276-8558	7.68	5.76
6921	310	6921-310	7.68	5.76
1	8761	1-8761	7.68	5.76
2248	168	2248-168	7.68	5.76
2328	8516	2328-8516	7.68	5.76
10260	203	10260-203	7.68	5.76
7468	96	7468-96	7.68	5.76
2323	168	2323-168	7.68	5.76
993	8516	993-8516	7.68	5.76
7453	310	7453-310	7.68	5.76
10513	168	10513-168	7.68	5.76
2344	96	2344-96	7.68	5.76
8481	168	8481-168	7.68	5.76
3157	609	3157-609	7.68	5.76
9326	95	9326-95	7.68	5.76
2046	8523	2046-8523	7.68	5.76
12291	199	12291-199	7.68	5.76
93	26531	93-26531	7.68	5.76
9993	156	9993-156	7.68	5.76
2037	8659	2037-8659	7.68	5.76
2284	168	2284-168	7.68	5.76
93	128	93-128	7.68	5.76
505	8445	505-8445	7.68	5.76
10552	96	10552-96	7.68	5.76
8973	168	8973-168	7.68	5.76
385	36008	385-36008	7.68	5.76
10492	96	10492-96	7.68	5.76
2328	234	2328-234	7.68	5.76
403	360	403-360	7.68	5.76
2054	14419	2054-14419	7.68	5.76
304	133	304-133	7.68	5.76
10134	168	10134-168	7.68	5.76
3163	14326	3163-14326	7.68	5.76
2323	609	2323-609	7.68	5.76
2393	96	2393-96	7.68	5.76
2054	26523	2054-26523	7.68	5.76
147	309	147-309	7.68	5.76
1078	611	1078-611	7.68	5.76
10564	609	10564-609	7.68	5.76
6964	125	6964-125	7.68	5.76
9656	168	9656-168	7.68	5.76
385	710	385-710	7.68	5.76
2347	8516	2347-8516	7.68	5.76
13951	234	13951-234	7.68	5.76
791	8523	791-8523	7.68	5.76
3157	156	3157-156	7.68	5.76
10506	609	10506-609	7.68	5.76
7620	23087	7620-23087	7.68	5.76
6760	8516	6760-8516	7.68	5.76
2299	234	2299-234	7.68	5.76
241	14379	241-14379	7.68	5.76
18	15520	18-15520	7.68	5.76
10492	203	10492-203	7.68	5.76
2045	97	2045-97	7.68	5.76
2380	97	2380-97	7.68	5.76
1029	8516	1029-8516	7.68	5.76
927	8516	927-8516	7.68	5.76
2049	212	2049-212	7.68	5.76
7921	168	7921-168	7.68	5.76
3434	102	3434-102	7.68	5.76
3434	23087	3434-23087	7.68	5.76
375	14354	375-14354	7.68	5.76
2302	168	2302-168	7.68	5.76
2248	460	2248-460	7.68	5.76
375	14419	375-14419	7.68	5.76
342	14363	342-14363	7.68	5.76
7951	203	7951-203	7.68	5.76
821	212	821-212	7.68	5.76
10159	96	10159-96	7.68	5.76
9687	156	9687-156	7.68	5.76
2302	14000	2302-14000	7.68	5.76
6921	8516	6921-8516	7.68	5.76
10448	95	10448-95	7.68	5.76
7620	23065	7620-23065	7.68	5.76
977	97	977-97	7.68	5.76
2302	102	2302-102	7.68	5.76
2247	102	2247-102	7.68	5.76
5942	203	5942-203	7.68	5.76
2296	102	2296-102	7.68	5.76
2360	168	2360-168	7.68	5.76
355	26523	355-26523	7.68	5.76
1016	212	1016-212	7.68	5.76
188	35984	188-35984	7.68	5.76
669	199	669-199	7.68	5.76
679	111	679-111	7.68	5.76
135	14379	135-14379	7.68	5.76
2303	111	2303-111	7.68	5.76
403	14326	403-14326	7.68	5.76
2041	14455	2041-14455	7.68	5.76
3157	96	3157-96	7.68	5.76
483	356	483-356	7.68	5.76
5756	14000	5756-14000	7.68	5.76
79	29389	79-29389	7.68	5.76
9617	168	9617-168	7.68	5.76
652	212	652-212	7.68	5.76
751	360	751-360	7.68	5.76
10039	609	10039-609	7.68	5.76
686	8493	686-8493	7.68	5.76
330	26523	330-26523	7.68	5.76
910	8659	910-8659	7.68	5.76
3157	111	3157-111	7.68	5.76
10229	14000	10229-14000	7.68	5.76
7453	710	7453-710	7.68	5.76
933	14000	933-14000	7.68	5.76
385	311	385-311	7.68	5.76
7452	156	7452-156	7.68	5.76
5898	234	5898-234	7.68	5.76
9363	203	9363-203	7.68	5.76
9530	96	9530-96	7.68	5.76
3434	8516	3434-8516	7.68	5.76
5632	8516	5632-8516	7.68	5.76
5632	14286	5632-14286	7.68	5.76
10229	168	10229-168	7.68	5.76
710	14286	710-14286	7.68	5.76
10467	168	10467-168	7.68	5.76
394	97	394-97	7.68	5.76
3177	111	3177-111	7.68	5.76
2044	97	2044-97	7.68	5.76
