sloc1	scate2	platform	cost	dispcnt	jz_cpm
172	8717	pc	11.0	10	1100.0
18	118	pc	17.5	18	972.2222222222222
18	37981	app	73.33	38	1929.7368421052631
188	310	pc	761.44	233	3267.982832618026
188	460	m	13502.65	1302	10370.698924731183
2	199	app	346.31	52	6659.807692307692
2	8645	m	35.53	18	1973.888888888889
2015	199	app	21.11	15	1407.3333333333333
202	34806	pc	165.36	33	5010.909090909091
2032	196	pc	2.0	2	1000.0
2038	14502	pc	1.8	2	900.0
2039	14286	pc	0.9	1	900.0
2043	125	app	3.0	2	1500.0
2043	130	pc	4.18	1	4180.0
2043	8543	app	9.7	3	3233.3333333333335
2045	8523	app	377.27	92	4100.760869565217
2046	35694	app	4.78	4	1195.0
2047	196	m	1.6	1	1600.0
2047	22431	pc	4.9	4	1225.0
2048	186	m	1.8	2	900.0
2052	190	m	12.08	5	2416.0
222	199	app	17.55	10	1755.0
2247	156	app	99.55	59	1687.2881355932204
2247	8558	m	14.0	10	1400.0
228	26531	app	7.0	7	1000.0
2302	95	pc	17.19	8	2148.75
2303	203	pc	25.39	18	1410.5555555555557
2307	609	app	32.73	22	1487.7272727272727
2325	14455	m	192.16	65	2956.3076923076924
2328	8493	app	3.89	1	3890.0
2342	125	m	514.69	292	1762.63698630137
2347	96	pc	101.3	34	2979.4117647058824
2372	14286	pc	2.0	2	1000.0
2373	310	m	8.1	9	900.0
2373	611	pc	13.78	12	1148.3333333333333
2380	196	m	1.8	2	900.0
2380	22431	pc	4.5	5	900.0
2394	234	app	2.0	2	1000.0
241	710	app	159.83	51	3133.921568627451
2422	34323	pc	0.9	1	900.0
265	130	m	594.34	178	3338.9887640449438
265	22431	pc	146.29	42	3483.095238095238
265	41588	app	0.9	1	900.0
265	8516	pc	1732.23	289	5993.8754325259515
296	35691	m	1.9	2	950.0
296	611	app	1.8	2	900.0
297	111	pc	22.14	11	2012.7272727272727
304	314	app	33.65	18	1869.4444444444443
304	8855	pc	3.66	2	1830.0
3157	128	app	1.0	1	1000.0
3177	35694	pc	4.92	5	984.0
319	125	pc	1162.24	165	7043.878787878788
319	8543	pc	484.94	47	10317.872340425532
3237	14379	app	1.0	1	1000.0
330	36488	pc	1.0	1	1000.0
362	190	pc	91.92	48	1915.0
362	95	m	991.53	275	3605.5636363636363
394	360	app	129.08	41	3148.2926829268295
399	310	app	16.46	9	1828.888888888889
4	207	m	1021.04	146	6993.424657534247
403	710	app	3.6	4	900.0
407	26523	app	1.0	1	1000.0
409	611	pc	6.26	3	2086.6666666666665
413	34806	app	49.08	12	4090.0
414	8523	app	8276.25	722	11462.950138504155
424	128	pc	28.42	17	1671.764705882353
424	8546	pc	38.08	9	4231.111111111111
450	196	app	15.61	10	1561.0
463	14526	m	20.28	11	1843.6363636363637
471	15520	pc	7.6	7	1085.7142857142858
483	14326	m	1449.23	319	4543.040752351098
483	8608	app	1065.7	131	8135.114503816794
5	23065	pc	45.97	29	1585.1724137931035
5	95	app	2516.33	823	3057.509113001215
502	611	app	10.42	7	1488.5714285714287
518	111	m	58.18	29	2006.2068965517242
520	8516	app	11.82	5	2364.0
5333	14000	app	111.62	20	5581.0
5334	8493	app	1.0	1	1000.0
541	36488	app	2.23	2	1115.0
556	360	app	43.41	32	1356.5625
5632	14000	m	1324.75	334	3966.317365269461
5632	14419	pc	0.9	1	900.0
5632	15520	app	1.43	1	1430.0
5733	128	m	0.9	1	900.0
592	609	pc	30.28	29	1044.1379310344828
5936	95	m	16.83	7	2404.285714285714
613	186	app	1.0	1	1000.0
613	96	m	1542.56	269	5734.423791821561
623	130	app	15.54	11	1412.7272727272727
629	14502	app	1.0	1	1000.0
645	14326	m	1.21	1	1210.0
645	8608	app	1.9	2	950.0
652	125	pc	251.04	47	5341.276595744681
669	8523	m	2139.35	377	5674.668435013263
6718	35694	app	5.4	6	900.0
6776	14455	pc	15.18	8	1897.5
6793	125	pc	82.9	27	3070.3703703703704
693	360	m	22.61	8	2826.25
710	35694	pc	7.06	3	2353.3333333333335
7133	111	app	41.05	37	1109.4594594594594
7133	234	pc	87.96	24	3665.0
7133	35694	m	169.66	32	5301.875
7154	190	app	5.42	2	2710.0
728	14526	pc	6.3	7	900.0
740	26523	app	202.46	61	3319.0163934426228
7452	212	pc	5.5	1	5500.0
7453	190	m	12.11	9	1345.5555555555557
751	14502	pc	5.4	5	1080.0
772	128	m	313.15	227	1379.5154185022027
79	15520	m	5.61	3	1870.0
791	35691	m	0.91	1	910.0
791	611	app	1.8	2	900.0
7921	310	pc	4.5	5	900.0
7951	8546	pc	4.76	2	2380.0
801	611	m	2.24	1	2240.0
811	14286	m	92.33	35	2638.0
811	8735	pc	70.35	16	4396.875
821	14526	app	4.0	4	1000.0
837	207	m	77.05	28	2751.785714285714
845	310	pc	209.7	107	1959.8130841121495
845	460	m	2706.85	599	4518.948247078464
8481	95	app	11.33	11	1030.0
858	26523	app	9.8	9	1088.888888888889
8601	14326	m	6.0	6	1000.0
872	190	m	20.73	9	2303.3333333333335
8760	14379	pc	12.43	3	4143.333333333333
882	102	pc	7.2	8	900.0
901	14455	app	23.86	9	2651.1111111111113
927	96	app	28.8	32	900.0
9363	125	m	306.49	48	6385.208333333333
9363	8543	m	0.9	1	900.0
9449	14455	pc	3.33	1	3330.0
9449	8546	app	1.8	2	900.0
9530	8493	m	1.8	1	1800.0
9539	8537	app	0.9	1	900.0
961	203	pc	27.8	16	1737.5
9704	133	app	2.0	2	1000.0
9704	14455	app	29.86	12	2488.3333333333335
9717	14286	pc	2.0	2	1000.0
9749	118	m	1.82	2	910.0
9799	14000	app	32.8	16	2050.0
984	35721	app	1.0	1	1000.0
9993	14455	app	2.9	2	1450.0
1	36008	m	113.75	51	2230.392156862745
1	37861	app	45.82	39	1174.871794871795
1005	125	pc	150.75	29	5198.275862068966
1005	8543	pc	5.8	6	966.6666666666666
102	609	m	30219.47	3449	8761.806320672658
10285	95	m	32.96	34	969.4117647058823
1029	95	app	21.02	15	1401.3333333333333
10362	23087	app	1.0	1	1000.0
10448	203	m	13.56	13	1043.076923076923
10506	190	m	6.3	3	2100.0
10524	23087	app	4.5	5	900.0
10536	96	m	305.98	103	2970.6796116504856
1057	35694	app	53.03	29	1828.6206896551723
1096	156	app	7.58	3	2526.6666666666665
1096	8558	m	1.09	1	1090.0
12291	35694	app	4.5	5	900.0
13951	8735	app	2.0	1	2000.0
147	26523	app	151.29	57	2654.2105263157896
158	14502	pc	280.68	183	1533.7704918032787
1734	168	m	328.34	91	3608.131868131868
