sloc1	scate2	platform	common_pos
5936	36488	pc	2
5942	29389	m	1
5942	360	m	1
5958	111	pc	1
5958	156	m	1
5959	14379	pc	1
606	196	pc	7
606	23087	pc	4
606	609	m	25
629	128	pc	2
629	8546	pc	5
637	14000	m	7
637	15520	app	1
648	360	m	1
656	125	app	4
679	168	m	1
679	212	m	4
6803	26520	pc	1
686	14419	app	1
686	97	pc	1
693	234	m	1
6964	8493	app	4
697	8523	pc	4
698	8558	m	2
700	125	app	5
700	8543	app	1
7133	36008	m	1
7133	95	pc	5
7154	35691	m	1
722	133	pc	2
7303	133	pc	1
7303	14455	pc	1
740	34806	pc	1
7468	35691	app	1
751	14526	m	1
7576	26531	pc	1
771	14326	m	1
771	8608	app	3
772	35828	pc	1
776	311	app	1
79	35691	pc	5
79	360	m	16
79	8445	m	4
7951	168	app	1
7951	212	app	2
801	234	pc	4
801	26516	app	1
831	14455	m	1
845	34323	pc	6
845	350	app	1
858	34806	pc	2
872	14000	pc	3
8760	125	m	1
8854	35691	app	2
891	14379	pc	2
891	96	app	6
901	125	pc	5
901	8543	pc	3
901	96	m	8
9123	14326	m	1
9146	14502	pc	1
927	199	m	1
9326	118	pc	1
933	14326	m	1
9357	186	m	1
9472	14455	m	1
9472	311	app	1
9481	611	pc	1
952	8735	m	4
9530	460	app	5
9551	234	m	2
961	14001	pc	1
9617	96	pc	1
9656	8855	pc	1
9717	8523	pc	2
9736	14326	m	1
977	311	pc	1
979	190	app	1
9837	14000	pc	4
984	26523	app	3
993	196	m	1
9976	199	pc	1
1	310	pc	7
10088	14000	app	6
10171	14000	pc	6
10198	310	pc	1
102	203	m	19
10229	234	pc	1
10260	130	pc	2
10285	36488	pc	1
10291	360	m	2
10362	8537	pc	1
10387	14000	m	5
1039	37863	app	1
1039	710	pc	1
1039	97	pc	1
10417	14502	pc	1
10434	128	pc	1
10461	125	app	3
10461	8543	app	1
10513	156	m	1
10524	8537	pc	1
10564	96	pc	6
1057	36008	app	2
1078	35691	app	1
1086	196	pc	1
1086	609	m	7
122	14000	app	11
122	8717	app	1
12291	36008	app	1
12804	14354	app	1
147	34806	pc	5
158	14526	m	6
16	133	app	4
16	8608	pc	5
172	360	pc	11
172	611	m	18
172	8445	pc	8
18	113	app	1
18	26518	pc	1
18	35984	app	2
188	156	pc	15
188	34323	m	4
2	14326	m	16
2	8608	app	5
202	14526	m	10
2032	130	pc	2
2037	125	m	7
2037	8543	m	3
2039	8523	m	9
2040	168	pc	2
2040	212	pc	3
2041	14000	m	8
2041	15520	app	4
2042	8493	m	1
2043	199	app	1
2044	128	pc	1
2044	8546	pc	2
2045	118	pc	1
2047	14363	app	1
2047	203	app	6
2047	8516	pc	1
2052	35691	pc	4
2053	460	m	14
2054	14455	app	4
2054	8608	pc	1
2192	26523	m	2
222	14326	m	9
222	8608	app	3
2247	95	pc	3
2248	130	m	2
2248	14363	pc	1
2248	203	pc	3
228	35721	app	1
2299	35721	app	1
2319	311	m	1
2337	14526	pc	3
2346	14363	m	1
2346	203	m	3
2354	26523	m	1
2372	8523	m	9
2373	111	app	5
2373	35694	m	1
2378	23087	app	1
2378	350	app	1
2380	203	app	5
2380	8516	pc	2
2389	196	app	1
2394	14000	pc	3
2395	8493	pc	1
2398	207	pc	1
2404	15520	pc	2
241	171	app	2
241	8735	m	8
265	14363	app	1
293	130	m	3
293	203	pc	1
296	234	app	2
3	35828	pc	6
3163	125	pc	3
3163	8543	pc	2
3163	96	m	2
3177	8692	pc	1
3209	14326	app	1
3237	203	m	9
3251	14502	pc	2
3251	34806	m	5
3266	8855	pc	1
330	111	pc	7
330	156	m	9
3328	156	app	2
3328	35694	pc	2
3328	8558	m	1
342	14379	pc	4
342	96	app	14
3445	311	pc	1
357	130	pc	1
367	8493	m	1
369	128	pc	1
369	8546	pc	1
37	196	m	21
37	23087	m	14
4	26518	app	1
403	8735	m	3
407	14502	pc	1
408	14286	pc	1
408	8523	m	5
413	128	pc	3
413	8546	pc	9
414	118	pc	1
414	207	m	25
424	8659	app	1
428	311	pc	1
455	130	m	3
455	203	pc	1
463	168	m	11
463	212	m	8
463	8659	pc	2
