sloc1	scate2	zdprice	online_price	member_price	price	diff	range
3	102	22.43	56.16	42.12	49.414	-6.746	-0.120121082621
3	118	2.34	59.76	44.82	48.276	-11.484	-0.192168674699
3	125	306.14	385.68	289.26	369.772	-15.908	-0.04124662933
3	128	26.63	136.8	102.6	114.766	-22.034	-0.161067251462
3	130	16.19	93.36	70.02	77.926	-15.434	-0.165317052271
3	133	9.24	65.28	48.96	54.072	-11.208	-0.171691176471
3	145	3.68	42.72	32.04	34.912	-7.808	-0.182771535581
3	156	177.59	383.04	287.28	341.95	-41.09	-0.107273391813
3	168	112.9	154.32	115.74	146.036	-8.284	-0.0536806635562
3	171	6.17	14.4	10.8	12.754	-1.646	-0.114305555556
3	186	2.13	14.4	10.8	11.946	-2.454	-0.170416666667
3	190	28.58	64.08	48.06	56.98	-7.1	-0.110799001248
3	196	46.25	124.56	93.42	108.898	-15.662	-0.125738599872
3	199	2.67	46.32	34.74	37.59	-8.73	-0.188471502591
3	207	13.71	72.24	54.18	60.534	-11.706	-0.162043189369
3	212	68.37	164.4	123.3	145.194	-19.206	-0.116824817518
3	234	17.1	88.8	66.6	74.46	-14.34	-0.161486486486
3	309	14.38	51.12	38.34	43.772	-7.348	-0.143740219092
3	310	21.41	77.28	57.96	66.106	-11.174	-0.144591097308
3	311	22.34	124.32	93.24	103.924	-20.396	-0.16406048906
3	314	0.45	6.48	4.86	5.274	-1.206	-0.186111111111
3	343	0.36	14.4	10.8	11.592	-2.808	-0.195
3	360	37.74	72.24	54.18	65.34	-6.9	-0.0955149501661
3	460	39.7	88.8	66.6	78.98	-9.82	-0.110585585586
3	609	116.58	163.44	122.58	154.068	-9.372	-0.057342143906
3	611	39.4	151.2	113.4	128.84	-22.36	-0.147883597884
3	710	6.74	58.32	43.74	48.004	-10.316	-0.176886145405
3	8442	4.1	21.36	16.02	17.908	-3.452	-0.161610486891
3	8444		20.16	15.12			
3	8445	14.41	43.2	32.4	37.442	-5.758	-0.133287037037
3	8493	12.7	55.2	41.4	46.7	-8.5	-0.153985507246
3	8516	68.38	136.08	102.06	122.54	-13.54	-0.0995002939447
3	8523	47.97	78.96	59.22	72.762	-6.198	-0.0784954407295
3	8537	6.24	43.68	32.76	36.192	-7.488	-0.171428571429
3	8543	8.05	77.76	58.32	63.818	-13.942	-0.17929526749
3	8546	3.86	45.6	34.2	37.252	-8.348	-0.183070175439
3	8558	26.78	88.08	66.06	75.82	-12.26	-0.13919164396
3	8608	11.82	46.32	34.74	39.42	-6.9	-0.14896373057
3	8645	1.62	27.84	20.88	22.596	-5.244	-0.188362068966
3	8658	0.9	14.4	10.8	11.7	-2.7	-0.1875
3	8692		36.0	27.0			
3	8719	2.0	20.16	15.12	16.528	-3.632	-0.180158730159
3	8735	7.99	52.8	39.6	43.838	-8.962	-0.169734848485
3	14000	128.8	227.52	170.64	207.776	-19.744	-0.0867791842475
3	14255		14.4	10.8			
3	14286	7.7	96.48	72.36	78.724	-17.756	-0.18403814262
3	14326	95.59	155.04	116.28	143.15	-11.89	-0.0766898864809
3	14354	7.57	28.32	21.24	24.17	-4.15	-0.146539548023
3	14363	3.8	21.36	16.02	17.848	-3.512	-0.164419475655
3	14379	4.86	20.4	15.3	17.292	-3.108	-0.152352941176
3	14419	7.43	55.92	41.94	46.222	-9.698	-0.173426323319
3	14455	140.8	140.16	105.12	140.288	0.128	0.000913242009132
3	14502	6.84	79.2	59.4	64.728	-14.472	-0.182727272727
3	14539	0.54	14.4	10.8	11.628	-2.772	-0.1925
3	15520	1.26	36.0	27.0	29.052	-6.948	-0.193
3	22431	42.14	95.76	71.82	85.036	-10.724	-0.111988304094
3	23065	19.03	114.72	86.04	95.582	-19.138	-0.166823570432
