sloc1	scate2	platform	clks_one_day	sloc-scate	online_price	member_price	valid_rate_new	jz_clks_one_day	predict_clks	pos_ctr	common_pos_jz	common_pos_zd	start_pos	end_pos	zd_get_clks	acp_jz	zd_cnt	zdprice
2323	609	app	48	2323-609	7.68	5.76	1.0	0.0	48.0	0.560471976401	0.0	2	1.0	7.0	27.0		6.0	
2350	14000	app	51	2350-14000	15.12	11.34	1.0	5.0	51.0	0.361344537815	3.0	2	4.0	10.0	5.0	1.115	6.0	0.93
2350	14000	m	67	2350-14000	15.12	11.34	0.5	5.0	33.5	0.186836518047	5.0	2	6.0	12.0	5.0	1.105	6.0	0.92
2350	14000	pc	5	2350-14000	15.12	11.34	0.23	1.0	1.15	0.025	3.0	2	4.0	10.0	0.0	1.22	6.0	0.0
2363	207	pc	18	2363-207	14.4	10.8	0.45	0.0	8.1	0.108527131783	1.0	1	2.0	7.0	1.0	0.9	5.0	0.18
2363	207	app	10	2363-207	14.4	10.8	1.0	0.0	10.0	0.58904109589	1.0	1	2.0	7.0	6.0		5.0	
2363	207	m	4	2363-207	14.4	10.8	1.0	0.0	4.0	0.75	1.0	1	2.0	7.0	3.0		5.0	
2371	460	pc	2	2371-460	14.4	10.8	0.68	2.0	1.36	0.0555555555556	3.0	0	4.0	9.0	0.0	0.9	5.0	0.0
2371	460	app	11	2371-460	14.4	10.8	1.0	2.0	11.0	0.448717948718	3.0	0	4.0	9.0	2.0	0.9	5.0	0.36
2371	460	m	29	2371-460	14.4	10.8	0.45	3.0	13.05	0.172248803828	4.0	0	5.0	10.0	2.0	0.9	5.0	0.36
2381	360	pc	4	2381-360	14.4	10.8	1.0	0.0	4.0	0.242424242424	2.0	1	3.0	8.0	1.0	1.0	5.0	0.2
2381	360	app	42	2381-360	14.4	10.8	1.0	0.0	42.0	0.386666666667	2.0	1	3.0	8.0	16.0	1.28	5.0	4.1
2381	360	m	20	2381-360	14.4	10.8	1.0	1.0	20.0	0.361111111111	2.0	1	3.0	8.0	1.0		5.0	
